dataset,scenario,is_alternative,replicate,method,reject,score,runtime_sec,pvalue,posterior_null_prob,log_bf10,posterior_mean_p
real_weather_1,real_weather_1,1,0,rkbt,0,-0.11171897785939677,35.02199177300008,nan,0.5279007311119274,-0.11171897785939677,2.401625
real_weather_1,real_weather_1,1,0,point_bonferroni_t,0,0.45228175809110516,0.0013018340000598982,0.5477182419088948,nan,nan,nan
real_weather_1,real_weather_1,1,0,global_l2,0,0.6204759048190363,0.004389664000200355,0.3795240951809638,nan,nan,nan
real_weather_1,real_weather_1,1,0,global_l2_fpca,0,0.9364127174565087,1.4401803149999068,0.0635872825434913,nan,nan,nan
real_weather_1,real_weather_1,1,0,global_f,0,0.5902819436112777,0.011549766999905842,0.4097180563887223,nan,nan,nan
real_weather_1,real_weather_1,1,0,bayes_fpca,1,3.027499239675983,0.00023162599995885103,nan,0.04619889696785828,3.027499239675983,nan
real_weather_2,real_weather_2,1,0,rkbt,1,1.8972149781627476,36.51294692900001,nan,0.13042400870222404,1.8972149781627476,2.51671875
real_weather_2,real_weather_2,1,0,point_bonferroni_t,0,0.9416931309871258,0.0007881809999616962,0.05830686901287417,nan,nan,nan
real_weather_2,real_weather_2,1,0,global_l2,1,0.9732053589282144,0.005662340000071708,0.026794641071785644,nan,nan,nan
real_weather_2,real_weather_2,1,0,global_l2_fpca,1,0.974005198960208,1.5243208589999995,0.025994801039792043,nan,nan,nan
real_weather_2,real_weather_2,1,0,global_f,1,0.9628074385122976,0.011560357999996995,0.03719256148770246,nan,nan,nan
real_weather_2,real_weather_2,1,0,bayes_fpca,1,3.5095687278094214,0.000260510000089198,nan,0.029041194295041484,3.5095687278094214,nan
real_weather_3,real_weather_3,1,0,rkbt,1,3.265552818568552,40.599326564999956,nan,0.03677202264493972,3.265552818568552,2.978046875
real_weather_3,real_weather_3,1,0,point_bonferroni_t,1,0.9947896963502569,0.0008737880000353471,0.005210303649743026,nan,nan,nan
real_weather_3,real_weather_3,1,0,global_l2,1,0.999000199960008,0.0036677150001196424,0.0009998000399920016,nan,nan,nan
real_weather_3,real_weather_3,1,0,global_l2_fpca,1,0.9892021595680864,1.6529324279999855,0.010797840431913617,nan,nan,nan
real_weather_3,real_weather_3,1,0,global_f,1,0.9986002799440112,0.011460168999974485,0.0013997200559888023,nan,nan,nan
real_weather_3,real_weather_3,1,0,bayes_fpca,1,6.128243831427257,0.00023156399993240484,nan,0.0021756629320180965,6.128243831427257,nan
