dataset,scenario,method,type1_error,power,auc,mean_runtime_sec,mean_score_h0,mean_score_h1,mean_posterior_null_h0,mean_posterior_null_h1,mean_log_bf10_h0,mean_log_bf10_h1,mean_p_h0,mean_p_h1
real_weather_1,real_weather_1,bayes_fpca,nan,1.0,nan,0.00023162599995885103,nan,3.027499239675983,nan,0.04619889696785828,nan,3.027499239675983,,
real_weather_1,real_weather_1,global_f,nan,0.0,nan,0.011549766999905842,nan,0.5902819436112777,,,,,,
real_weather_1,real_weather_1,global_l2,nan,0.0,nan,0.004389664000200355,nan,0.6204759048190363,,,,,,
real_weather_1,real_weather_1,global_l2_fpca,nan,0.0,nan,1.4401803149999068,nan,0.9364127174565087,,,,,,
real_weather_1,real_weather_1,point_bonferroni_t,nan,0.0,nan,0.0013018340000598982,nan,0.45228175809110516,,,,,,
real_weather_1,real_weather_1,rkbt,nan,0.0,nan,35.02199177300008,nan,-0.11171897785939677,nan,0.5279007311119274,nan,-0.11171897785939677,nan,2.401625
real_weather_2,real_weather_2,bayes_fpca,nan,1.0,nan,0.000260510000089198,nan,3.5095687278094214,nan,0.029041194295041484,nan,3.5095687278094214,,
real_weather_2,real_weather_2,global_f,nan,1.0,nan,0.011560357999996995,nan,0.9628074385122976,,,,,,
real_weather_2,real_weather_2,global_l2,nan,1.0,nan,0.005662340000071708,nan,0.9732053589282144,,,,,,
real_weather_2,real_weather_2,global_l2_fpca,nan,1.0,nan,1.5243208589999995,nan,0.974005198960208,,,,,,
real_weather_2,real_weather_2,point_bonferroni_t,nan,0.0,nan,0.0007881809999616962,nan,0.9416931309871258,,,,,,
real_weather_2,real_weather_2,rkbt,nan,1.0,nan,36.51294692900001,nan,1.8972149781627476,nan,0.13042400870222404,nan,1.8972149781627476,nan,2.51671875
real_weather_3,real_weather_3,bayes_fpca,nan,1.0,nan,0.00023156399993240484,nan,6.128243831427257,nan,0.0021756629320180965,nan,6.128243831427257,,
real_weather_3,real_weather_3,global_f,nan,1.0,nan,0.011460168999974485,nan,0.9986002799440112,,,,,,
real_weather_3,real_weather_3,global_l2,nan,1.0,nan,0.0036677150001196424,nan,0.999000199960008,,,,,,
real_weather_3,real_weather_3,global_l2_fpca,nan,1.0,nan,1.6529324279999855,nan,0.9892021595680864,,,,,,
real_weather_3,real_weather_3,point_bonferroni_t,nan,1.0,nan,0.0008737880000353471,nan,0.9947896963502569,,,,,,
real_weather_3,real_weather_3,rkbt,nan,1.0,nan,40.599326564999956,nan,3.265552818568552,nan,0.03677202264493972,nan,3.265552818568552,nan,2.978046875
